consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
20,423,2023-12-29,0.8246313628899836,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;ocsvm,5.0
21,568,2024-05-22,0.8241241789819375,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;calf;itrans;ocsvm,3.0
22,571,2024-05-25,0.8193384646962233,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;calf;itrans;ocsvm,16.0
23,474,2024-02-18,0.8103847837985769,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,9.0
24,595,2024-06-18,0.8063526272577997,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,5.0
25,564,2024-05-18,0.8046075533661741,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;calf;itrans;ocsvm,5.0
26,599,2024-06-22,0.7938444170771757,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;itrans,9.0
27,586,2024-06-09,0.7930911330049262,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;itrans,3.0
28,592,2024-06-15,0.7872146962233169,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;itrans,15.0
29,426,2024-01-01,0.7788132868089764,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;itrans;ocsvm,5.0
30,587,2024-06-10,0.7776683087027914,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;itrans,21.0
31,551,2024-05-05,0.7773543377120962,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,13.0
32,585,2024-06-08,0.7751806239737273,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;itrans,23.0
33,489,2024-03-04,0.7743069239189928,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
34,453,2024-01-28,0.7742456212370006,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;calf,33.0
35,584,2024-06-07,0.7740106732348111,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;itrans,24.0
36,558,2024-05-12,0.7734381499726327,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,25.0
37,499,2024-03-14,0.766667008757526,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
38,543,2024-04-27,0.7647714148877942,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,itrans;ocsvm,9.0
39,579,2024-06-02,0.7639675697865353,4,1,kmeans;dwt;itrans;ocsvm,calf,1,kmeans,29.0
40,83,2023-01-23,0.7625478927203065,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,ocsvm,5.0
41,116,2023-02-25,0.7608173234811166,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,1.0
42,563,2024-05-17,0.758176724137931,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;itrans,38.0
43,500,2024-03-15,0.7567913245758072,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
44,84,2023-01-24,0.7562221538040503,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,itrans;ocsvm,5.0
45,424,2023-12-30,0.7559597701149425,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;itrans;ocsvm,5.0
46,117,2023-02-26,0.7555216201423097,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,1.0
47,417,2023-12-23,0.7530301039956211,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;ocsvm,5.0
48,527,2024-04-11,0.7503134920634921,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,itrans,20.0
49,85,2023-01-25,0.748878489326765,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,itrans;ocsvm,5.0
50,578,2024-06-01,0.7485570607553367,4,1,kmeans;dwt;itrans;ocsvm,calf,1,kmeans,30.0
