consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
16,476,2024-02-20,0.8688479064039407,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;ocsvm,18.0
17,568,2024-05-22,0.8673258073344281,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;dwt;calf;itrans,9.0
18,601,2024-06-24,0.8661740558292282,3,2,kmeans;dwt;ocsvm,calf;itrans,1,kmeans,10.0
19,461,2024-02-05,0.8607205801860974,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,40.0
20,604,2024-06-27,0.8470169677066228,3,2,kmeans;dwt;ocsvm,calf;itrans,1,kmeans,45.0
21,582,2024-06-05,0.8455931855500821,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;dwt;itrans,10.0
22,580,2024-06-03,0.8438957307060755,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;dwt;itrans,8.0
23,565,2024-05-19,0.8393249178981937,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;dwt;calf,1.0
24,519,2024-04-03,0.8392963875205254,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,ocsvm,18.0
25,524,2024-04-08,0.8358899835796387,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,itrans,32.0
26,527,2024-04-11,0.8356266420361248,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,itrans;ocsvm,5.0
27,589,2024-06-12,0.8332163382594417,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;dwt;itrans,20.0
28,547,2024-05-01,0.8320304460864806,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;itrans,25.0
29,532,2024-04-16,0.8317240695128625,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
30,556,2024-05-10,0.8294995894909688,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;calf,9.0
31,578,2024-06-01,0.8272167487684728,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;dwt,6.0
32,588,2024-06-11,0.8269540229885057,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;dwt;itrans,19.0
33,586,2024-06-09,0.8260775862068965,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;dwt;itrans,12.0
34,520,2024-04-04,0.8257430213464696,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
35,559,2024-05-13,0.8227021072796935,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;dwt;itrans,9.0
36,541,2024-04-25,0.822238711001642,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,46.0
37,500,2024-03-15,0.8221890394088671,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,6.0
38,518,2024-04-02,0.8213396278051451,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,21.0
39,526,2024-04-10,0.818814039408867,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,itrans,13.0
40,569,2024-05-23,0.8165674603174603,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;dwt;calf,9.0
41,590,2024-06-13,0.812824302134647,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;dwt,25.0
42,534,2024-04-18,0.8123951149425288,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
43,591,2024-06-14,0.8103735632183907,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;dwt,33.0
44,489,2024-03-04,0.809947728516694,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,5.0
45,472,2024-02-16,0.8072222906403941,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
46,595,2024-06-18,0.807175697865353,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;itrans,31.0
47,552,2024-05-06,0.8065103311439519,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;itrans,9.0
48,594,2024-06-17,0.8037746305418719,4,1,kmeans;dwt;itrans;ocsvm,calf,1,kmeans,20.0
49,384,2023-11-20,0.8015670498084291,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,itrans,44.0
50,557,2024-05-11,0.7995314039408867,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;dwt;itrans,9.0
