variant_raw,customer,anomaly_type,consensus_rank_raw,row_raw,timestamp,consensus_score_raw,available_method_count_raw,missing_method_count_raw,methods_available_raw,methods_missing_raw,methods_in_top_k_raw,methods_triggered_raw,best_method_rank_raw,variant_log1p,consensus_rank_log1p,row_log1p,consensus_score_log1p,available_method_count_log1p,missing_method_count_log1p,methods_available_log1p,methods_missing_log1p,methods_in_top_k_log1p,methods_triggered_log1p,best_method_rank_log1p
raw,633000,subsequence_pattern,5,520,2024-04-04,0.9270836070060208,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,19.0,log1p,17,520,0.8236378626163109,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,itrans;ocsvm,23.0
raw,633000,subsequence_pattern,10,489,2024-03-04,0.8811841133004927,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,16.0,log1p,22,489,0.8075941434044882,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
raw,633000,subsequence_pattern,12,580,2024-06-03,0.8756670771756979,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,14.0,log1p,49,580,0.7195915435139573,4,1,kmeans;dwt;itrans;ocsvm,calf,2,itrans;ocsvm,6.0
raw,633000,subsequence_pattern,16,364,2023-10-31,0.8651364258347017,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,1.0,log1p,39,364,0.7380559660645868,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,ocsvm,17.0
raw,633000,subsequence_pattern,19,356,2023-10-23,0.8591677613574167,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,5.0,log1p,45,356,0.7258515325670498,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
raw,633000,subsequence_pattern,27,391,2023-11-27,0.8244278872468527,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;ocsvm,1.0,log1p,14,391,0.8378293650793651,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
raw,633000,subsequence_pattern,35,392,2023-11-28,0.8075881226053638,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;ocsvm,1.0,log1p,33,392,0.75357074438971,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,dwt,49.0
raw,633000,subsequence_pattern,38,486,2024-03-01,0.7975365353037767,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,calf,43.0,log1p,46,486,0.7234681855500821,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
raw,633000,subsequence_pattern,40,402,2023-12-08,0.7936741926655719,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;itrans,1.0,log1p,34,402,0.7482613574165298,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;itrans,22.0
raw,633000,subsequence_pattern,41,485,2024-02-29,0.7913382594417078,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,ocsvm,35.0,log1p,4,485,0.8818250547345373,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;ocsvm,14.0
